Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,20564485419.1684,20550582746.8448,19998143635.873,18019554403.4503,18896353155.8839,18418860354.4238,18904502222.2108,20143451705.7548,14583135236.5744,
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,12776224537.2743,13228147516.1168,11386853143.152,11861199830.8396,13019726211.7369,15156424061.9815,15401826080.5183,15162734205.2462,17930565118.8176,18882095517.8768
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,209755003250.664,213809980720.787,165979224316.667,160034212613.438,170096989042.831,174910891124.491,171760290068.157,145743722826.258,163472233245.77,191912889420.911
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000,
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3193512950.01572,3271685596.5215,2789881258.60547,2896610479.86779,3000162081.22356,3218419896.93327,3155149347.92151,2891001149.40074,3325145406.77109,3352032737.0391
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,133401582620.494,137244439121.374,87219300384.5072,49840491178.1518,68972769395.6274,77792944471.9494,69309110145.7687,50241368243.6314,65685435100.4986,106713618735.434
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467955555.55556,1604770370.37037,1675403703.7037,1416348148.14815,1560518518.51852,1757603703.7037
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,552025140252.246,526319673731.638,594749285413.212,557532317363.451,643628396190.388,524819898586.906,447754686715.081,385540406815.599,487227125385.641,632770284408.51
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,11121464429.703,11609513241.0754,10553337527.7745,10546136240.3952,11527458712.6187,12457940705.3088,13619290545.8131,12641698593.7908,13861409968.835,19502783987.8807
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2727932960.89385,2791061452.51397,2963128491.62011,2983798882.68156,3092178770.94972,3276187709.49721,3395793854.7486,2610038938.54749,3126019385.47486,
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1576329690003.93,1467589901175.46,1350580336316.75,1206562910556.58,1326467487376.42,1428266513154.48,1392218527563.26,1326944627876.87,1552703151616.01,1675418665067.09
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,430190979705.965,442584815286.027,381971148530.543,395837353031.51,417261151844.981,454991174096.094,444621176100.54,435225238000.43,480368403893.364,471400066091.247
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,74160553008.7311,75239737488.8044,53076244754.5037,37867007022.7844,40866632047.8414,47112479289.4186,48174235294.1176,42693000000,54825411764.7059,78721058823.5294
GDP (current US$),NY.GDP.MKTP.CD,Bahamas,BHS,10562800000,11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34621807712.766,39303403989.3617,44390820478.7234
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,149990529207.544,172885432686.945,195078574089.067,265236389198.948,293754769935.148,321379163135.647,351238397263.802,373902196399.317,416264802185.166,460201000095.101
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000,5637914514.6379
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,75527537703.1836,78812785767.7483,56454895054.6555,47723549319.0842,54725311690.0478,60031163987.191,64410112583.362,61371755326.2351,69673747131.87,72793457588.4367
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,521791015247.064,535390200131.009,462335574841.484,476062757356.94,502764720556.358,543299066998.892,535865692402.342,525213067068.319,594351961634.487,578604103123.349
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000,2824081836.19867
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,12517845127.6766,13284527850.2627,11388160997.1088,11821065852.127,12701655845.9622,14262408079.7005,14391686309.0337,15651545208.8771,17690083519.9322,17401746309.266
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,1756214303.92609,1907090361.57887,2003596824.31099,2158971717.50418,2450366107.88229,2446867582.27133,2535655609.45889,2325185520.59339,2539551327.48291,
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784,43068885672.9378
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,18179104548.8804,18558731212.8666,16404352155.614,17116926092.3905,18326376394.0796,20484048415.5019,20482603346.4473,20226030731.0131,23649566069.2355,24527507287.7962
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,14271738366.7917,15470087926.2484,13530749289.7861,15082636722.856,16105156375.5848,17031943186.1353,16725908661.9419,14960291540.5283,18737066306.9659,20352322157.1467
